CSA,CBSA,Name,Metro /Micro Code,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Num of Structures With 5 Units or More,nan,Total_year_to_date,1 Unit_year_to_date,2 Units_year_to_date,3 and 4 Units_year_to_date,5 Units or More_year_to_date,Num of Structures With 5 Units or More_year_to_date
999,10100,"Aberdeen, SD                                                ",5,0,0,0,0,0,0,,0,0,0,0,0,0
999,10140,"Aberdeen, WA                                                ",5,24,24,0,0,0,0,,24,24,0,0,0,0
101,10180,"Abilene, TX                                                 ",2,82,78,4,0,0,0,,82,78,4,0,0,0
999,10220,"Ada, OK                                                     ",5,4,0,4,0,0,0,,4,0,4,0,0,0
220,10300,"Adrian, MI                                                  ",5,8,8,0,0,0,0,,8,8,0,0,0,0
184,10420,"Akron, OH                                                   ",2,56,42,0,0,14,2,,56,42,0,0,14,2
999,10460,"Alamogordo, NM                                              ",5,1,1,0,0,0,0,,1,1,0,0,0,0
999,10480,"Alamosa, CO                                                 ",5,10,6,4,0,0,0,,10,6,4,0,0,0
999,10500,"Albany, GA                                                  ",4,6,6,0,0,0,0,,6,6,0,0,0,0
440,10540,"Albany, OR                                                  ",2,10,8,2,0,0,0,,10,8,2,0,0,0
104,10580,"Albany-Schenectady-Troy, NY                                 ",2,170,81,0,3,86,7,,170,81,0,3,86,7
172,10620,"Albemarle, NC                                               ",5,29,29,0,0,0,0,,29,29,0,0,0,0
999,10660,"Albert Lea, MN                                              ",5,0,0,0,0,0,0,,0,0,0,0,0,0
290,10700,"Albertville, AL                                             ",5,8,8,0,0,0,0,,8,8,0,0,0,0
105,10740,"Albuquerque, NM                                             ",2,146,116,30,0,0,0,,146,116,30,0,0,0
194,10760,"Alexander City, AL                                          ",5,8,8,0,0,0,0,,8,8,0,0,0,0
999,10780,"Alexandria, LA                                              ",4,25,23,2,0,0,0,,25,23,2,0,0,0
999,10820,"Alexandria, MN                                              ",5,7,7,0,0,0,0,,7,7,0,0,0,0
204,10860,"Alice, TX                                                   ",5,1,1,0,0,0,0,,1,1,0,0,0,0
106,10900,"Allentown-Bethlehem-Easton, PA-NJ                           ",2,81,62,14,0,5,1,,81,62,14,0,5,1
394,10940,"Alma, MI                                                    ",5,2,2,0,0,0,0,,2,2,0,0,0,0
999,10980,"Alpena, MI                                                  ",5,3,3,0,0,0,0,,3,3,0,0,0,0
107,11020,"Altoona, PA                                                 ",2,16,13,0,3,0,0,,16,13,0,3,0,0
999,11060,"Altus, OK                                                   ",5,3,3,0,0,0,0,,3,3,0,0,0,0
108,11100,"Amarillo, TX                                                ",2,42,42,0,0,0,0,,42,42,0,0,0,0
999,11140,"Americus, GA                                                ",5,4,4,0,0,0,0,,4,4,0,0,0,0
218,11180,"Ames, IA                                                    ",2,28,3,0,0,25,1,,28,3,0,0,25,1
521,11200,"Amherst Town-Northampton, MA                                ",2,16,6,0,0,10,2,,16,6,0,0,10,2
104,11220,"Amsterdam, NY                                               ",5,4,4,0,0,0,0,,4,4,0,0,0,0
999,11260,"Anchorage, AK                                               ",4,19,10,2,0,7,1,,19,10,2,0,7,1
450,11360,"Anderson Creek, NC                                          ",5,92,92,0,0,0,0,,92,92,0,0,0,0
372,11380,"Andrews, TX                                                 ",5,3,3,0,0,0,0,,3,3,0,0,0,0
258,11420,"Angola, IN                                                  ",5,4,4,0,0,0,0,,4,4,0,0,0,0
220,11460,"Ann Arbor, MI                                               ",2,47,23,0,0,24,1,,47,23,0,0,24,1
999,11500,"Anniston-Oxford, AL                                         ",4,7,7,0,0,0,0,,7,7,0,0,0,0
118,11540,"Appleton, WI                                                ",2,57,57,0,0,0,0,,57,57,0,0,0,0
412,11580,"Arcadia, FL                                                 ",5,5,5,0,0,0,0,,5,5,0,0,0,0
999,11620,"Ardmore, OK                                                 ",5,4,4,0,0,0,0,,4,4,0,0,0,0
999,11660,"Arkadelphia, AR                                             ",5,1,1,0,0,0,0,,1,1,0,0,0,0
556,11680,"Arkansas City-Winfield, KS                                  ",5,5,1,4,0,0,0,,5,1,4,0,0,0
120,11700,"Asheville, NC                                               ",2,294,166,0,0,128,4,,294,166,0,0,128,4
360,11740,"Ashland, OH                                                 ",5,7,5,2,0,0,0,,7,5,2,0,0,0
999,11820,"Astoria, OR                                                 ",5,6,6,0,0,0,0,,6,6,0,0,0,0
312,11860,"Atchison, KS                                                ",5,1,1,0,0,0,0,,1,1,0,0,0,0
198,11900,"Athens, OH                                                  ",5,0,0,0,0,0,0,,0,0,0,0,0,0
174,11940,"Athens, TN                                                  ",5,11,11,0,0,0,0,,11,11,0,0,0,0
206,11980,"Athens, TX                                                  ",5,18,18,0,0,0,0,,18,18,0,0,0,0
122,12020,"Athens-Clarke County, GA                                    ",2,76,76,0,0,0,0,,76,76,0,0,0,0
122,12060,"Atlanta-Sandy Springs-Roswell, GA                           ",2,3133,1859,22,53,1199,76,,3133,1859,22,53,1199,76
